pseudo,date,comment,tags,subpost,forum_page,day
atsumaArchangedeboros#5435,2025-04-29 15:08:32,Supprimer ou modifier profondément le système de génération de pépites.C'est anormal que des groupes d'individus organisées génèrent autant de kamas via les pépites.En quelques semaines il y avait déjà des milliardaires sur serveur pionniers.,['Génération de pépites'],False,2,2025-04-29
hacrocus#8143,2025-04-29 15:08:48,Une fusion des serveurs historiques. PITIER,['Autre'],False,2,2025-04-29
golgot016#2508,2025-04-29 15:08:59,Avoir une vraie identité visuel sur les interfaces et pas juste modifier quelques dégradés ou arrondir des coins. Quitte à avoir quelques choses comme sur la 2.0 qui marchait vraiment bien !,['Améliorations des Interface'],False,2,2025-04-29
amsdeni#4393,2025-04-29 15:09:24,"Nerf le donjon « Temple du Dieu Kao » les niveaux 180 galèrent trop dessus, déjà qu’avec une team 200 plus opti que nécessaire ce donjon est horrible à faire !",['Autre'],False,2,2025-04-29
Pazpeaceful#9095,2025-04-29 15:10:12,"Corriger les fuites de RAM, après 1 heure le jeu devient pratiquement injouable, il faut redémarrer constamment, c'est absurdement ennuyeux et me fait arrêter de jouer.Il convient de rappeler que cela existe dans le jeu depuis Flash, alors quelle est l'excuse maintenant ?",['Debug / performance'],False,3,2025-04-29
valentin7420#7020,2025-04-29 15:10:21,"Bonjour,Un sytème d'auto-follow au point.Le système se désactive à chaque zaap/zaapi, on passe son temps à le ré-activer.Il force également la sortie de dimension si le personnage principal n'est pas dans la dimension ou n'a pas encore pris le téléporteur...Si l'option est active elle devrait se mettre en fonctionnement dès que tous les personnages sont sur la même carte.Comme un genre d'aimantation, quand le principal est sur une carte il aimante d'office tous les personnages du groupe.",['Debug / performance'],False,3,2025-04-29
Dratrick77#8394,2025-04-29 15:10:22,"Regler les problèmes d'interface qui bouge, ne s'applique pas correctement, mode combat et hors combat qui ne fonctionne pas",['Améliorations des Interface'],False,3,2025-04-29
TeamTim19#5357,2025-04-29 15:10:39,"Ne pas limiter les bonus/compensations aux weekend exclusivement, exemple : xp et/ou drop +X% / trousseau de clés illimité/ moissonneuse batteuse.Vous nous aviez parlé de consommables pour palier à ça et c'était très prometteur.","['compensations', 'quête Dofus Ocre / craft PDA']",False,3,2025-04-29
Titou-mrtin#8537,2025-04-29 15:10:47,"Bonjour à vous !Améliorer le système du koli de manière générale :- Quand on a plusieurs victoires d’affilée, avoir un petit boost de point ça serait cool.- Gagner plus de points après une victoire car la différence entre victoire et défaite et vraiment minime bien sûr suivant sa division.- Avoir plus de récompenses en terme de kamas ou autre je sais pas !Merci à vous","['Améliorer Kolizéum (recompenses, matchmaking, etc.)']",False,3,2025-04-29
amsdeni#4393,2025-04-29 15:11:14,Mettre tous les métiers lié au compte !,['Métiers liés au compte'],False,3,2025-04-29
AirGeof-One#7709,2025-04-29 15:11:21,"Bonjour,Les lags en multicompte depuis 3.1 deviennent vraiment pesant ..Entre les écrans noirs aux changements de maps/entrée en cbt de plusieurs secondes, un de mes 4 persos (toujours le même) qui crash sans explication.Bon courage !",['Debug / performance'],False,3,2025-04-29
Xx-Death-Piege-xX#7103,2025-04-29 15:11:24,"Le mode héros, priorité absolue.",['Mode héros'],False,3,2025-04-29
TeamTim19#5357,2025-04-29 15:11:32,"ÉquipeTim19 #5357|29/04/2025 - 12:10:39Ne pas limiter les bonus/compensations aux week-end exclusivement, exemple : xp et/ou drop +X% / trousseau de clés illimité/ moissonneuse batteuse.Vous nous aviez parlé de consommables pour palier à ça et c'était très prometteur.","['compensations', 'quête Dofus Ocre / craft PDA']",False,3,2025-04-29
Demon-Magique#6869,2025-04-29 15:11:46,Unemodération professionelle rémunéréeNous avons besoin d'une réelle modération professionelle qui puissent agir en tant que police en jeu pour éviter les immenses frustrations rencontrées quant au comportement de certains joueurs. Potentiellement ceux-ci pourraient peut-être aussi organiser des sortes de mini event interserveur histoire de dynamiser l'esprit communautaire au sein du jeu même?,['Meilleure Modération'],False,3,2025-04-29
Grondaa#3010,2025-04-29 15:12:27,"Plutôt que de parler d’équilibrage des classes qui est un sujet sans fin et propre à chacun, focus sur la nouvelle feature les eclames : envisager de réviser soit leur obtention en permettant à la prospection d’influer sur le drop, soit en diminuant leur nombre pour les recettes (du moins pendant quelques mois le temps que le marché se stabilise). Pour le moment un trop grand nombre de joueur se retrouve pénalisé par cette nouvelle ressource.","['Eklames dans craft potion', 'Équilibrage des classes']",False,3,2025-04-29
rerepoze#4420,2025-04-29 15:12:42,Redonner de l'intérêt au farm de donjons en PVM :Introduction de cosmétiques obtenables à taux très bas et qui se différencient entre les donjons. Le taux de drop ainsi que le boss lié à son obtention seraient visible dans le bestiaire. Introduction petit à petit de ces cosmétiques.Intérêts :- Redonner un intérêt aux donjons qui sont peu exploités et meurent malgré leurs mécaniques et quêtes- Permettre à une catégorie de joueur de s'épanouir dans le drop- Ajouter une nouvelle source d'économie,"['Séparation pvp & pvm', 'drops rares en combat']",False,3,2025-04-29
amsdeni#4393,2025-04-29 15:13:07,"Rendre échangeable les skins obtenu via les Ovatons, car il y a des personnes qui n’aiment pas le PVP qui pourraient acheter ces skins en permettant aux joueurs Koli de faire des Kamas",['Autre'],False,3,2025-04-29
chizar#4028,2025-04-29 15:13:12,Refonte Ocre,['quête Dofus Ocre / craft PDA'],False,3,2025-04-29
amsdeni#4393,2025-04-29 15:13:49,Rajouter la 9e et 10e génération de muldo avec des bonus inédits !,['Rework élevage'],False,3,2025-04-29
chizar#4028,2025-04-29 15:13:50,Remettre les traques je pense que plusieurs personnes seront pour la guerre bonta brakmar n'a jamais été aussi peu attractive et le pvp se limite au koli a l'ambiance toxique et a l'ava,['Remettre les Traques'],False,3,2025-04-29
Letamaru#4873,2025-04-29 15:14:05,"Instancier les donjons demandant des recherches de monstre pour accéder au boss (Maître Corbac, Minotoror,...) et/ou labyrinthe (Minotoror, Dragon Cochon, ...l permettant à tous et a toutes de profiter d'une recherche saine de la solution et des monstres requis pour accéder au but final.","['Rework vieux contenus (quêtes, donjons, etc.)']",False,3,2025-04-29
hfhcgjkbcg#7764,2025-04-29 15:14:06,Au sujet du week-end compensation : mettre cela sous forme de bonbons utilisables quand on le souhaite. (Ex : je travaille tous les week-end… je me fais toujours avoir sur ce genre de week-end. C’est rageant),['compensations'],False,3,2025-04-29
MageZelphix#3892,2025-04-29 15:14:06,"Correction entière des fuites de mémoires : ce n'est pas 'normal' de devoir redémarrer son jeu toute les demis heures en 2025, et peu importe le temps de dev que ça prendra, si il faut réecrire le code en entier alors faites; mais dans l'état actuel des choses c'était censer être LA promesse d'unity.",['Debug / performance'],False,3,2025-04-29
-yoshi-vert-#3936,2025-04-29 15:14:08,Sujet : Vos déploiements / livraisons de mise à jourInvestissez dans une vraie pré-prod (& le plus ISO possible)Testez vos scripts / RDD sur la version pré-prod la plus latest possible les veilles de livraisons pour éviter toutes dingueries comme dernièrementAutomatisez un maximum de tests / sanity checks / TNRAméliorez votre cahier de testsVos MEP devraient être un non événement.Quels intérêts ? Arrêter de donner aux joueurs l'impression que vous livrez sans tester vos features/fix/devs.Bon courage aux équipes.,['Debug / performance'],False,3,2025-04-29
atsumaArchangedeboros#5435,2025-04-29 15:14:09,"Refonte total des quêtes et de la progression.C'est impossible pour un nouveau joueur de commencer et rester sur le jeu. On est vite perdu, quelles quêtes prioritiser, par pu débuter une série de quêtes etc...Toutes les quêtes doivent se faire avec un site annexe pour les rendre digestes. C'est globalement infâmes, sans la carotte des dofus je n'aurais fait aucunes quêtes dans ce jeu clairement.","['Rework vieux contenus (quêtes, donjons, etc.)']",False,4,2025-04-29
Naruto#6050,2025-04-29 15:14:46,Rework de la quete ocre,['quête Dofus Ocre / craft PDA'],False,4,2025-04-29
demonnom#7422,2025-04-29 15:14:47,"Pouvoir loot des panoplies au delà du niveau 60, une ou deux panos par tranche de 20 lvls + pouvoir loot des dofus avec des jets aléatoires comme avant en PLUS de l'obtention par quete",['drops des dofus '],False,4,2025-04-29
phildragonphi#4583,2025-04-29 15:15:20,Fusion Kolizeum pionnier/historique (+ filtre pour séparer ces 2 types de serveurs),['Fusion Kolizeum (pionner/historique)'],False,4,2025-04-29
katuza44540#5876,2025-04-29 15:15:22,"On doit déco/reco toute les heures car ça lag sinon. (1sec pour changer de map, freezes en combat, …)Hdv âmes même combat, quand on cherche 4/5 archi l’hdv commence a crash littéralement toute les 10sec.","['Debug / performance', 'Améliorations des Interface']",False,4,2025-04-29
amsdeni#4393,2025-04-29 15:15:48,"Rework du FM, ce système archaïque mérite un refresh ou un ajout d’un côté déterministe (plus coûteux que l’aléatoire) pour ceux qui ne veulent pas se prendre la tête à passer des heures à l’atelier !",['rework Forgemagie'],False,4,2025-04-29
Kiminah#1679,2025-04-29 15:16:11,"En multicomptes, avec le raccourcis ALT - Échap, il y a toujours le menu (échap) qui s'ouvre ou bien une fenêtre d'interface qui se ferme. Ce problème n'avait pas lieu sur Dofus 2, svp faites quelque chose",['Améliorations des Interface'],False,4,2025-04-29
brazzersfapfapnow#3880,2025-04-29 15:17:05,"Obtention des dofus :Remettre l’obtention de certains dofus en drop!Nous savons que ça peut être frustrant pour certains de faire plusieurs combats avant d’avoir la chance d’en drop, cependant c’est également ce qui faisait le charme de cette feature.Je propose de faire un sondage sur ce point si possible.",['drops des dofus '],False,4,2025-04-29
chizar#4028,2025-04-29 15:17:15,Priorité au débug je pense que certaine personne quitte a attendre quelques chose elle n'attendait sûrement pas votre refonte élevage,"['Debug / performance', 'Rework élevage']",False,4,2025-04-29
Raffaton#7504,2025-04-29 15:17:29,- Bug D'affichage / perte de mémoire,['Debug / performance'],False,4,2025-04-29
PLAYMOLU#2162,2025-04-29 15:17:43,"Amélioration des Systèmes de Gestion de Guilde et d'AlliancePour renforcer l'aspect social de Dofus :Droits et Attributions :Plus de détails et de profondeur dans les permissions des membres (guilde & alliance).Historiques :Historique des alliances comme celui des guildesJournal :Meilleur système (gras, souligné) et débuguer le journal d'alliance (scroll, taille de la police) (guilde & alliance)Ces améliorations rendraient la gestion des guildes et des alliances plus attractives. Je ne pense pas que ce soit trés long/compliquer à faire.","['Debug / performance', 'Rework guildes/Alliances']",False,4,2025-04-29
Mims-la-Fee-#2822,2025-04-29 15:17:57,"Lancer une vraie chasse aux bots, être plus strict !  Remettre le réel pvp comme sur rétro, même si je n'en fais pas, je sais que ça manque à nos joueurs.",['Bots'],False,4,2025-04-29
Kiminah#1679,2025-04-29 15:18:18,"L'auto-follow n'est pas optimisé, il y a toujours un ou deux persos qui s'arrêtent totalement",['Debug / performance'],False,4,2025-04-29
sheena-yggdrasill#8821,2025-04-29 15:18:36,"Remettre le drop de Dofus possible , a un taux très bas peut être mais pouvoir avoir cette double obtention avec les quêtes .Mais vraiment mettre tous les Dofus dropable, quitte a ajouté des cosmétiques/ récompenses uniquement pour ceux qui ont fait les quêtes histoire de récompenser encore mieux ceux qui ont fait les quêtes.","['drops rares en combat', 'drops des dofus ']",False,4,2025-04-29
Raffaton#7504,2025-04-29 15:18:37,- revenir a l'ancien MaJ pour le craft des potions de teleportations (bonta/brak/rappel),['Eklames dans craft potion'],False,4,2025-04-29
First-Omega-800#4872,2025-04-29 15:19:46,"Concernant les compensations :On sait très bien que le sondage privilégiera majoritairement la moissonneuse-batteuse, ce qui est compréhensible pour les serveurs pionniers. En revanche, cela n’est pas pertinent pour les serveurs historiques (Ocre à 36M).Si vous souhaitez satisfaire tout le monde, permettez aux joueurs de choisir individuellement. Je proposeun bonus unique, activable sur commande (48h), au choix : drop, XP ou trousseau.Les joueurs qui ne peuvent pas jouer le week-end vous en seront reconnaissants, et chacun y trouvera son compte","['compensations', 'quête Dofus Ocre / craft PDA']",False,4,2025-04-29
rerepoze#4420,2025-04-29 15:19:46,"Redonner de l'intérêt à l'aspect communautaire :Introduction d'un système valorisant l'entraide entre joueurs sans passer par la case Kamas. Exemple au travers d'un jeton permettant l'achat d'objets tels que les bonbons carac, des cosmétiques, ressources, items...Introduction d'un panneau, d'une taverne, d'un onglet qui permettrait de ""créer"" des annonces plus ou moins préconçues. Exemple : choisir un type de contenu : quête / donjons / succès -> possibilité pour les joueurs de s'inscrire pour l'accomplissement de la mission et de communiquer au travers d'un ""groupe"" dont les messages resteraient actifs même après déconnexion qui permettrait de s'organiser pour se connecter ect.Intérêts :- Valoriser l'entraide entre les joueurs par la récompense- Rendre les joueurs vigilants aux demandes d'aides- Permettre aux joueurs de se retrouver autour d'une difficulté commune : X crée un groupe pour Erazal, Y voit 2h plus tard que ce groupe est ouvert et abesoinde cette quête donc il s'inscrit.",['fonctionnalité communautaires (Recherche de groupe/mercenariat)'],False,4,2025-04-29
Kiminah#1679,2025-04-29 15:20:09,"L'interface des cosmétiques pour les titres et ornements n'est vraiment pas ergonomique. Il faudrait qu'on ait directement sous les yeux les titres plutôt que de devoir ""hover"" l'icône avec le T. De même pour les ornements, une prévisualisation à l'ancienne serait bien",['Améliorations des Interface'],False,4,2025-04-29
Kwaykii#8098,2025-04-29 15:20:15,"Ouverture d'un second serveur beta sans duty free avec accès à toutes les quêtes du jeu afin de dénicher certains bugsRetrait des éklames sur les recettes des potion de téléportationInterdiction du pl payant sur le moyen terme afin d'aligner le jeu avec wakfu et rétro à ce niveau (fait aussi office de mesure anti bot)Mode héros en multicompte, mais je m'attends pas à ça avant au moins 2027, bugs ou non","['Eklames dans craft potion', 'Mode héros', 'Debug / performance', 'action sur le PL (encadrement, interdiction, etc)']",False,4,2025-04-29
BONHEURETJOIEPOURTOUS#7496,2025-04-29 15:20:31,Améliorer les performances du jeu. Difficile à faire tourner sur une machine vieillissante et trop de fuites mémoire,['Debug / performance'],False,4,2025-04-29
atsumaArchangedeboros#5435,2025-04-29 15:20:32,"Implantation du mode héro à la Wakfu dans Dofus.C'est un must have.Le jeu est fait pour 3/4 minimum pour clean le contenu.Solo on est vite isolé et limité dans la progression et accès aux fonctionnalités du jeu (type Songes infini, quêtes a ralonges end game)Le mode héro est obligatoire pour le jeu il apporte un confort de jeu et flexibilité non négligeable.D'autant plus que l'opti Unity est médiocre et jouer avec 8 onglets est peu accessible (RAM et cpu trop engagés)","['Mode héros', 'rework songes']",False,5,2025-04-29
chizar#4028,2025-04-29 15:20:52,Séparer les stuffs pvp pvm les only pvm on en a clairement RAL bol de se faire fumer nos classes juste a cause des mecs qui chouinent en pvp,['Séparation pvp & pvm'],False,5,2025-04-29
Bou-One#1740,2025-04-29 15:21:34,Un devblog / communication sur des pistes de revalorisation des guildes vu que celles-ci vont perdre les enclos privés en septembre qui étaient une des dernières fonctionalitées liées à celles-ci.,"['Rework élevage', 'Rework guildes/Alliances']",False,5,2025-04-29
Hawk-inou#4942,2025-04-29 15:22:13,"Enlever la notion de temporalité dans les quêtes / émotes, frustrant de pas pouvoir finir l'ile de pwak car je ne peux pas me connecter à minuit.",['implémenter Attitudes/emotes etc'],False,5,2025-04-29
Skuyrtle#2979,2025-04-29 15:23:09,"Bonjour,Révision et refonte de toutes les quêtes à goulot d'étranglement :- Refonte de la quête Ocre et de la capture des archimonstres pour favoriser l'entraide et ne pas limiter la réalisation de la quête- Maximum 4 ou 5 combattants ennemis dans les combats de quête (et les mobs de quête drop des pépites par exemple pour remercier les gens qui aident)- Maximum 3 récoltables de quête avec repop accéléré en fonction de la fréquentation de la zone","['quête Dofus Ocre / craft PDA', 'combats de quêtes', 'Rework vieux contenus (quêtes, donjons, etc.)']",False,5,2025-04-29
patatutetais#7774,2025-04-29 15:23:12,"Séparer le pvp et le pvm, y'en a marre d'avoir des nerfs injustes qui frustrent les joueurs de l'une ou l'autre des catégories.",['Séparation pvp & pvm'],False,5,2025-04-29
Pasteeque#7600,2025-04-29 15:23:32,"Bonjour,Dissocier totalement les modes de jeu PvP et PvM, car cela amène à des équilibrages de classes après rapport au PvP, en pénalisant ceux qui ne le jouent pas et amène dénaturation et déséquilibre entre les classes du jeu.","['Équilibrage des classes', 'Séparation pvp & pvm']",False,5,2025-04-29
patatutetais#7774,2025-04-29 15:23:34,Correction des bugs en priorité,['Debug / performance'],False,5,2025-04-29
Oo-agridiens-oO#6189,2025-04-29 15:24:16,Rework de la progression bas moyen lvl.Des modifications sur Astrub et surtout une refonte d'Amakna pour en faire un hub des quêtes environ 40 80.Amakna peut aussi ensuite envoyer sur moon ou wabbit à un moment.,"['Rework vieux contenus (quêtes, donjons, etc.)']",False,5,2025-04-29
Bou-One#1740,2025-04-29 15:24:48,"La possibilité de pouvoir abandonner les quêtes des justiciers ""Formation des XXXème année"" pour éviter un soft-lock.",['Autre'],False,5,2025-04-29
guiguifr#3410,2025-04-29 15:24:56,"Amélioration du suivi des quêtesEmpecher les crash du jeu une fois sur quatre quand on clique sur une quete dans le chat, et quand on clique sur la quête dans le chat et que ça ouvre la fenêtre de quêtes, faire que ça s'affiche bien (donc dans le bon onglet ""en cours"" ou ""terminé"" et sans les saisies qu'on avait faites précédemment qui font qu'on ne voit pas directement la quête si on ne nettoie pas la zone de saisie)",['Debug / performance'],False,5,2025-04-29
ViVariumCra#3808,2025-04-29 15:25:00,"Pour ma part le vrai sujet problematique actuellement, hors mit les bug ce sont simplement les performances du jeu ?Unity annoncé une grosse amélioration des performance de dofus, sans avoir besoin de reboot toute les 2h, mais malgré tout, nous en sommes encore obligé, il suffit de faire une a deux heure de quete en multicompte et les fenetre sont deja entre 3 et 4 go, quand allez vous fixez ces fuites mémoires qui rendent l'experience mono/multi injouable au dessus de 3h.La question est: Quand sera réglé les problemes de fuites memoires qui nous ont était promis ?",['Debug / performance'],False,5,2025-04-29
